name,slug,NBA_3PA,NBA_3P%,NCAA_FT%,NCAA_3P%,NCAA_FTA
Anthony Peeler,peelean01,2445,0.384,0.779,0.393,670
Sam Perkins,perkisa01,2348,0.362,0.796,0.25,705
Wesley Person,persowe01,2754,0.418,0.747,0.441,348
Bobby Phills,phillbo01,878,0.39,0.71,0.358,383
Eric Piatkowski,piatker01,2168,0.399,0.777,0.358,489
Paul Pierce,piercpa01,5816,0.368,0.697,0.355,531
James Posey,poseyja01,2967,0.349,0.808,0.329,557
Brent Price,pricebr01,938,0.387,0.818,0.41,517
Glen Rice,ricegl01,3896,0.4,0.797,0.48,380
Mitch Richmond,richmmi01,3417,0.388,0.77,0.413,395
Isaiah Rider,rideris01,1896,0.352,0.805,0.401,323
Clifford Robinson,robincl02,3515,0.356,0.641,0.333,630
Glenn Robinson,robingl01,1823,0.34,0.773,0.385,475
Rodney Rogers,rogerro01,1986,0.347,0.694,0.349,434
Jalen Rose,roseja01,2102,0.355,0.738,0.336,550
Bryon Russell,russebr01,1856,0.369,0.683,0.344,363
Dennis Scott,scottde01,3060,0.397,0.777,0.422,355
Brian Shaw,shawbr01,1416,0.304,0.728,0.379,257
Steve Smith,smithst01,3208,0.358,0.756,0.416,614
Latrell Sprewell,sprewla01,3272,0.337,0.74,0.399,215
Jerry Stackhouse,stackje01,3202,0.309,0.72,0.355,465
John Starks,starkjo01,3591,0.34,0.838,0.38,136
Bryant Stith,stithbr01,931,0.329,0.789,0.353,875
Damon Stoudamire,stoudda01,3464,0.357,0.804,0.402,434
Erick Strickland,stricer01,1151,0.351,0.776,0.349,434
Bob Sura,surabo01,1303,0.325,0.652,0.336,696
Wally Szczerbiak,szczewa02,1453,0.406,0.809,0.431,372
Jason Terry,terryja01,6010,0.38,0.784,0.374,371
Tim Thomas,thomati01,2609,0.369,0.796,0.336,152
Nick Van Exel,vanexni01,4278,0.357,0.701,0.358,221
Keith Van Horn,vanhoke01,1655,0.361,0.851,0.401,651
Antoine Walker,walkean02,4264,0.325,0.66,0.252,203
Rasheed Wallace,wallara01,3228,0.336,0.621,0.25,232
Charlie Ward,wardch01,1754,0.364,0.636,0.323,220
