name,slug,NBA_3PA,NBA_3P%,NCAA_FT%,NCAA_3P%
Chris Paul,paulch01,3730,0.37,0.838,0.47
Otto Porter,porteot01,1364,0.404,0.751,0.355
Norman Powell,powelno01,891,0.361,0.746,0.314
Taurean Prince,princta02,1305,0.366,0.718,0.376
JJ Redick,redicjj01,4526,0.416,0.912,0.406
Josh Richardson,richajo01,1387,0.363,0.56,0.0
Austin Rivers,riverau01,1757,0.348,0.658,0.365
Rajon Rondo,rondora01,1207,0.316,0.577,0.283
Derrick Rose,rosede01,1541,0.304,0.712,0.337
Terrence Ross,rosste01,2887,0.37,0.764,0.364
Terry Rozier,roziete01,1368,0.371,0.772,0.331
Mike Scott,scottmi01,1210,0.364,0.677,0.286
Iman Shumpert,shumpim01,1447,0.338,0.738,0.305
Marcus Smart,smartma01,1835,0.318,0.751,0.295
Tony Snell,snellto01,1611,0.385,0.821,0.38
Jayson Tatum,tatumja01,1022,0.401,0.849,0.342
Jeff Teague,teaguje01,1886,0.356,0.812,0.421
Garrett Temple,templga01,1626,0.347,0.783,0.278
Isaiah Thomas,thomais02,2781,0.364,0.713,0.325
Anthony Tolliver,tollian01,2306,0.373,0.671,0.333
Karl-Anthony Towns,townska01,1280,0.396,0.813,0.25
PJ Tucker,tuckepj01,1911,0.361,0.711,0.5
Evan Turner,turneev01,917,0.294,0.758,0.362
Dion Waiters,waitedi01,1660,0.346,0.753,0.348
Kemba Walker,walkeke02,4062,0.36,0.783,0.326
Russell Westbrook,westbru01,3208,0.305,0.685,0.354
Andrew Wiggins,wiggian01,1625,0.332,0.775,0.341
Lou Williams,willilo02,3871,0.349,0.643,0.0
Marvin Williams,willima02,2894,0.361,0.847,0.432
Thaddeus Young,youngth01,1459,0.333,0.743,0.419
Trae Young,youngtr01,1050,0.344,0.861,0.36
Jerryd Bayless,bayleje01,1382,0.361,0.839,0.407
Michael Beasley,beaslmi01,835,0.349,0.774,0.379
Isaiah Canaan,canaais01,1042,0.351,0.803,0.419
Darren Collison,collida01,1610,0.394,0.851,0.435
DeMarcus Cousins,couside01,1031,0.332,0.604,0.167
Luol Deng,denglu01,1982,0.332,0.71,0.36
Kevin Durant,duranke01,4122,0.381,0.816,0.404
Tyreke Evans,evansty01,1548,0.323,0.711,0.274
Raymond Felton,feltora01,2813,0.329,0.731,0.375
Channing Frye,fryech01,2706,0.388,0.759,0.261
Devin Harris,harride01,2558,0.325,0.778,0.375
Wesley Johnson,johnswe01,1823,0.337,0.508,
Jeremy Lin,linje01,1313,0.342,0.733,0.333
Shelvin Mack,macksh01,916,0.33,0.755,0.357
Jodie Meeks,meeksjo01,2078,0.373,0.89,0.386
Darius Miller,milleda01,856,0.382,0.815,0.379
Tony Parker,parketo01,1603,0.324,0.516,
