name,slug,player_df_index
Giannis Antetokounmpo,antetgi01,12
J.J. Barea,bareajo01,25
Nicolas Batum,batumni01,30
Marco Belinelli,belinma01,36
Dāvis Bertāns,bertada01,40
Nemanja Bjelica,bjeline01,45
Bogdan Bogdanović,bogdabo01,47
Bojan Bogdanović,bogdabo02,48
Luka Dončić,doncilu01,133
Goran Dragić,dragigo01,138
Yogi Ferrell,ferreyo01,155
Evan Fournier,fournev01,158
Danilo Gallinari,gallida01,166
Marc Gasol,gasolma01,169
Mario Hezonja,hezonma01,216
Serge Ibaka,ibakase01,235
Ersan İlyasova,ilyaser01,237
Joe Ingles,inglejo01,238
LeBron James,jamesle01,249
Nikola Jokić,jokicni01,260
C.J. Miles,milescj01,337
Patty Mills,millspa02,339
E'Twaun Moore,mooreet01,347
Emmanuel Mudiay,mudiaem01,354
Cedi Osman,osmande01,385
Kelly Oubre Jr.,oubreke01,386
Kristaps Porziņģis,porzikr01,410
Ricky Rubio,rubiori01,433
D'Angelo Russell,russeda01,434
Dario Šarić,saricda01,438
Dennis Schröder,schrode01,441
Thabo Sefolosha,sefolth01,443
Ish Smith,smithis01,455
J.R. Smith,smithjr01,456
Fred VanVleet,vanvlfr01,487
Nikola Vučević,vucevni01,490
José Calderón,caldejo01,547
Omri Casspi,casspom01,549
Gerald Green,greenge01,578
Jonas Jerebko,jerebjo01,591
Nikola Mirotić,mirotni01,615
Dirk Nowitzki,nowitdi01,620
Manu Ginóbili,ginobma01,694
Mirza Teletović,teletmi01,758
Leandro Barbosa,barbole01,784
Boris Diaw,diawbo01,792
Monta Ellis,ellismo01,795
Beno Udrih,udrihbe01,853
Greivis Vásquez,vasqugr01,855
Sasha Vujačić,vujacsa01,856
Metta World Peace,artesro01,862
Andrea Bargnani,bargnan01,871
Kobe Bryant,bryanko01,877
Francisco García,garcifr01,969
Andrei Kirilenko,kirilan01,983
Sebastian Telfair,telfase01,1008
Hedo Türkoğlu,turkohe01,1012
Martell Webster,webstma02,1016
Dorell Wright,wrighdo01,1018
